animal_id,name,breed,raw_breed,color,secondary_color,sex,is_puppy,intake_date,days_waiting,intake_reason,health,date_of_birth
31348,Perlay,ALASKAN HUSKY,ALASKAN HUSKY,White,,Unknown,0,2026-08-10,4,Owner Surrender,,2022-08-10
31362,Cooper,Siberian Husky,Siberian Husky,White,Tan,Male,0,2026-08-10,4,Owner Surrender,,2021-08-10
31363,,French Bulldog,French Bulldog,Black,,Unknown,1,2026-08-10,4,ACO - Impound,,2026-06-10
31368,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,4,Stray,,
31369,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,4,Stray,,
31370,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,4,Stray,,
31371,,Dachshund,Dachshund,White,Brown,Unknown,1,2026-08-10,4,Stray,,
31387,Anderson,Australian Cattle Dog,Australian Cattle Dog,Black,White,Unknown,0,2026-08-10,4,Stray,,2024-08-10
31396,,Cairn Terrier,Cairn Terrier,Black,Black,Male,0,2026-08-11,3,ACO - Impound,Sick,2024-08-11
31397,Widow,Siberian Husky,Siberian Husky,White,Tan,Female,0,2026-08-11,3,ACO - Impound,Normal,
31400,,Chihuahua,Chihuahua - Smooth,Blonde,White,Unknown,0,2026-08-11,3,Stray,,2025-08-11
31207,,American Pit Bull Terrier,American Pit Bull Terrier,Black Brindle,Black Brindle,Male,1,2026-08-11,3,Stray,,
31422,Hugs,Dachshund,Dachshund,Black,White,Unknown,0,2026-08-11,3,Owner Surrender,,2015-08-11
31436,,Chihuahua,Chihuahua - Smooth,Tan,Black,Male,0,2026-08-11,3,Stray,,
31438,Mona,Labrador Retriever,Labrador Retriever,Black,White,Unknown,0,2026-08-11,3,Owner Surrender,,2018-08-11
31440,,American Pit Bull Terrier,American Pit Bull Terrier,Black,,Unknown,0,2026-08-11,3,Stray,,
31452,,Labrador Retriever,Labrador Retriever,Red Merle,White,Female,0,2026-08-11,3,ACO - Impound,,2024-02-11
